,description,women_proportion
0,"Company name: Ministerie van Financi n: Belastingdienst
 Job requirements:  
<ul><li>Tmap Next Foundation</li><li>Ervaring met projecten in een Agile omgeving</li><li>Senior tester met ervaring in testautomatisering (5 jaar)</li><li>Kennis en ervaring met Agile/SCRUM</li></ul>
Wensen:

<ul><li>Testtooling (RobotFramework)</li><li>Functioneel testen</li><li>Integratietesten</li><li>Performancetesten</li><li>Kennis van XML, MQ, DB2</li><li>Kennis van Container Platforms</li></ul>
location: Apeldoorn, Nederland
None
 Company info: None
 Compensation benefits: <p><span style=_font-size: 11pt; font-family: Arial;_>Dit is een opdracht tussen de 32 - 36 uur per week. De startdatum is (in overleg) en de looptijd van de opdracht is in eerste instantie tot 31 december 2023, waarna er optie tot verlenging is.</span></p><p><span style=_font-size: 11pt; font-family: Arial;_>Voor deze rol zal je door Yacht gedetacheerd worden bij de Belastingdienst als Senior Tester. Je reiskosten worden uiteraard volledig vergoed. Een elektrische leaseauto, welke je ook priv  mag rijden, behoort tot de mogelijkheden!  Ook ontvang je een bonusregeling tot maximaal 8% van je bruto jaarsalaris, 25 vakantiedagen en 8,33% vakantiegeld op fulltime jaarbasis. Daarnaast gaan we graag met je in gesprek over je persoonlijke ontwikkelingsplan en bespreken welke trainingen en opleidingen gewenst zijn, want blijven ontwikkelen zijn de sleutelwoorden!</span></p><p><br></p><p><br></p>
 Job type: Tijdelijke functie/opdracht
 Certifications: <p><br></p><ul><li>Tmap Next Foundation</li><li>Ervaring met projecten in een Agile omgeving</li><li>Senior tester met ervaring in testautomatisering (5 jaar)</li><li>Kennis en ervaring met Agile/SCRUM</li></ul><p>Wensen:</p><ul><li>Testtooling (RobotFramework)</li><li>Functioneel testen</li><li>Integratietesten</li><li>Performancetesten</li><li>Kennis van XML, MQ, DB2</li><li>Kennis van Container Platforms</li></ul><p> </p>
 Remote possible: False",0.4
1,"Company name: Belastingdienst
 Job requirements: - Gecertificeerd Scrum master, minimaal PSM II of vergelijkbaar<br>- Meerdere jaren aantoonbare ervaring als Scrum master waaronder ervaring met SAFe of andere opschalingsmodellen<br>- Ervaring met implementatie trajecten binnen een complexe omgeving<br>- Professioneel vaardig in het Nederlands en Engels.
location: Apeldoorn, Nederland
None
 Company info: De IV- organisatie van de Belastingdienst is verantwoordelijk voor en verzorgt de ICT- voorzieningen. Het merendeel van de applicaties wordt op dit moment door de IV- organisatie zelf ontwikkeld, onderhouden en beheerd in het eigen data center. Naast de zorg voor continu teit op de massale heffing- en inningsprocessen die plaatsvinden binnen een degelijke, stabiele omgeving, wordt er tevens volop gewerkt aan modernisering van het IV- landschap. Dit gebeurt deels intern door gebruik te maken van de expertise die intern aanwezig is, maar ook door het aantrekken van (kant-en-klaar) oplossingen en expertise uit de markt.
 Compensation benefits: <ul><li>Auto van de zaak is bespreekbaar (en mag uiteraard prive gebruikt worden)</li><li>Salaris op basis van kennis en ervaring met een maximum van  5040,- per maand</li><li>Indien gewenst direct vast contract voor onbepaalde tijd bij Yacht</li><li>Voor deze opdracht geldt een 13e maand (en voor andere opdrachten een 13e maand of deelname aan de Yacht bonusregeling), 8,33% vakantiegeld &amp; 25 vakantiedagen (als je belooft dat je er iets leuks mee doet) </li><li>Mogelijkheid voor het volgen van opleidingen, cursussen &amp; trainingen </li><li>Pluspensioen vanaf de eerste werkdag &amp; bij ziekte eerste jaar 100% doorbetaald</li></ul>
 Job type: Tijdelijke functie/opdracht
 Certifications: - Gecertificeerd Scrum master, minimaal PSM II of vergelijkbaar<br>- Meerdere jaren aantoonbare ervaring als Scrum master waaronder ervaring met SAFe of andere opschalingsmodellen<br>- Ervaring met implementatie trajecten binnen een complexe omgeving<br>- Professioneel vaardig in het Nederlands en Engels.
 Remote possible: True",0.75
2,"Company name: DUO
 Job requirements: 3 jaar ervaring in het volgende eisenpakket:
<ul><li>HBO denk en werkniveau;</li><li>Relevante werkervaring in modelleren;</li><li>Relevante werkervaring in een Java omgeving;</li><li>Relevante werkervaring met REST.</li></ul>
<u>Nice to have</u><br>Ervaring met Java Swing is een pr ;<br>Ervaring met Velocity is een pr .
location: Groningen
None
 Company info: <p> </p>

<p> </p>
 Compensation benefits: Deze opdracht staat ook open voor doorleen en zzp&#39;ers. 
 Job type: Tijdelijke functie/opdracht
 Certifications: 3 jaar ervaring in het volgende eisenpakket:
<ul><li>HBO denk en werkniveau;</li><li>Relevante werkervaring in modelleren;</li><li>Relevante werkervaring in een Java omgeving;</li><li>Relevante werkervaring met REST.</li></ul>
<u>Nice to have</u><br>Ervaring met Java Swing is een pr ;<br>Ervaring met Velocity is een pr .<br><br><u>Competenties</u><br>Naast de specifieke aspecten die bij de rol ontwikkelaar zijn genoemd, geldt dat je ook kan meedenken over hoe je de gemodelleerde informatie kunt gebruiken om de DevOps teams verder te helpen op elk vakgebied. Het idee is uiteraard dit als team te doen dus samendenken en -werken is een hoofdzaak! Ofwel, naast het werk wat je vanuit je rol doet heb je ook veel kansen om op je vakgebied een leidende rol te pakken.
 Remote possible: True",0.5
3,"Company name: Dienst Uitvoering Onderwijs (DUO)
 Job requirements: 5 jaar ervaring met de volgende eisen:
<ul><li>Relevante ervaring in HBO niveau functies;</li><li>Relevante werkervaring in UX interactie ontwerp / UX design functies;</li><li>Ervaring met human centered design, customer journeys, user stories, scenario s, screenflows, wireframes en prototype en service design, aantoonbaar met inzichtelijk online portfolio;</li><li>Ervaring met het organiseren en begeleiden van effectieve groepssessies;</li><li>Ervaring met het begeleiden van human centered design traject in   n of meerdere multidisciplinaire scrumteams;</li><li>Ervaring met Agile werken, werken in DevOps teams, ervaring met Scrum/Kanban.</li></ul>
<strong>Nice to have</strong>

<ul><li>Relevante opleiding, bijvoorbeeld Human Technology, UX Academy, Communicatiesystemen;</li><li>Relevante ervaring bij grote uitvoeringsorganisaties;</li><li>Ruime ervaring met digitale overheid;</li><li>Aantoonbare ervaring met gebruikersonderzoek en usabilitytesting.</li></ul>

<div> </div>
location: Groningen
DUO is op zoek naar een UX Designer!
 Company info: <p><span style=_font-size: 14px;_>DUO verzorgt als uitvoeringsorganisatie, zijnde onderdeel van het Ministerie van Onderwijs, Cultuur en Wetenschap de uitvoering van complexe wet- en regelgeving en heeft een uitgebreid dienstenpakket. DUO financiert en informeert onderwijsdeelnemers en onderwijsinstellingen. Voor verdere informatie zie </span><a href=_https://www.duo.nl/_ target=__blank_>www.duo.nl</a></p>
 Compensation benefits: <p><strong>Deze rol staat ook open voor ZZP-ers en doorleen kandidaten.</strong></p>
 Job type: Tijdelijke functie/opdracht
 Certifications: 5 jaar ervaring met de volgende eisen:
<ul><li>Relevante ervaring in HBO niveau functies;</li><li>Relevante werkervaring in UX interactie ontwerp / UX design functies;</li><li>Ervaring met human centered design, customer journeys, user stories, scenario s, screenflows, wireframes en prototype en service design, aantoonbaar met inzichtelijk online portfolio;</li><li>Ervaring met het organiseren en begeleiden van effectieve groepssessies;</li><li>Ervaring met het begeleiden van human centered design traject in   n of meerdere multidisciplinaire scrumteams;</li><li>Ervaring met Agile werken, werken in DevOps teams, ervaring met Scrum/Kanban.</li></ul>
<strong>Nice to have</strong>

<ul><li>Relevante opleiding, bijvoorbeeld Human Technology, UX Academy, Communicatiesystemen;</li><li>Relevante ervaring bij grote uitvoeringsorganisaties;</li><li>Ruime ervaring met digitale overheid;</li><li>Aantoonbare ervaring met gebruikersonderzoek en usabilitytesting.</li></ul>
<strong>Competenties</strong><br>Klantgerichtheid, Analyseren, Samenwerken, Omgevingsbewustzijn, Plannen en organiseren, Voortgangscontrole, Zelfontwikkeling, Inlevingsvermogen, Initiatief.
 Remote possible: True",0.5
4,"Company name: ASML Netherlands B.V.
 Job requirements: <br>
location: Veldhoven
None
 Company info: <br>
 Compensation benefits: <p> </p>
 Job type: Tijdelijke functie, met optie op vast
 Certifications: <br>
 Remote possible: False",0.0
5,"Company name: ASML Netherlands B.V.
 Job requirements: <br><span style=_font-size: small;_><span style=__><span style=_color: #222222;_><span style=_font-family: Arial,Helvetica,sans-serif;_><span style=_font-style: normal;_><span style=__><span style=_font-weight: 400;_><span style=_white-space: normal;_><span style=__><span style=__><span style=__><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_><span style=_color: black;_><u><strong>Role &amp; Responsibilities:</strong></u><br>You will be working cross-team as a <u><strong>technical lead</strong></u> for the cloud related work packages. Deep knowledge of <u><strong>cloud environments and security </strong></u>and its controls is required. You are able to <u><strong>train and coach</strong></u> </span></span></span></span></span></span></span></span></span></span></span></span></span></span><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_>teams / architects / engineers on security knowledge and application in day-to-day work. </span></span><span style=_font-size: small;_><span style=__><span style=_color: #222222;_><span style=_font-family: Arial,Helvetica,sans-serif;_><span style=_font-style: normal;_><span style=__><span style=_font-weight: 400;_><span style=_white-space: normal;_><span style=__><span style=__><span style=__><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_><span style=_color: black;_>You design and review the deliverables of the teams. You take responsibility for the<u><strong> quality of the implemented solutions</strong></u>. You drive the mitigation of agreed controls. You <u><strong>lead the cloud community.</strong></u></span></span></span></span></span></span></span></span></span></span></span></span></span></span>
<ul><li><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_>Define, communicate and <u><strong>execute security roadmap</strong></u> items according to plan and requirements. 2 Roadmap iterations processed and related studies finished (UCC).</span></span><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_>.</span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_>Collaborate closely with core team members on improving and<u><strong> applying security and resolving security related issues.</strong></u></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_><u><strong>Prevent security and audit issues </strong></u>by contributing to designs and studies.</span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Arial,sans-serif;_><u><strong>D<strong>ef</strong>ine and align security requirement</strong></u>s and best practices related to capabilities and wow.</span></span></li></ul>
location: Veldhoven
None
 Company info: <br>
 Compensation benefits: <p>If this position is a match for your skills, please apply before <u><strong>February<strong> 2</strong>1, 2023,</strong></u> or email your resume to <strong><u><a href=_mailto:pallavi.mahadik@yacht.nl_ target=__blank_>pallavi.mahadik@yacht.nl</a>.</u></strong></p>

<p><u><strong>YACHT Offers:</strong></u></p>

<ul><li>A <u><strong>permanent or freelance </strong></u>contract</li><li><strong><strong>13th Month Pay</strong></strong></li><li><strong><strong>Holiday allowance</strong></strong></li><li><strong><strong>Other perks</strong></strong> etc</li></ul>
 Job type: Tijdelijke functie, met optie op vast
 Certifications: <br>
 Remote possible: False",0.4
6,"Company name: DUO
 Job requirements: <br><strong>Harde eisen:</strong>
<ul><li>HBO werk en denk niveau</li><li>Ervaring als Service manager IT +3jaar</li><li>Ervaring als Service manager bij een leverancier van ICT-infrastructuur/cloud diensten +3jaar</li></ul>
<strong>Nice to have:</strong>

<ul><li>Ervarings als service manager binnen de Rijksoverheid</li><li>Brede kennis van het ICT landschap van de Rijksoverheid</li><li>Een breed netwerk binnen de ICT-organisaties van de Rijksoverheid</li></ul>
location: Groningen
None
 Company info: <p>DUO verzorgt als uitvoeringsorganisatie, zijnde onderdeel van het Ministerie van Onderwijs, Cultuur en Wetenschap de uitvoering van complexe wet- en regelgeving en heeft een uitgebreid dienstenpakket. DUO financiert en informeert onderwijsdeelnemers en onderwijsinstellingen. Voor verdere informatie zie www.duo.nl</p>

<p> </p>
 Compensation benefits: <strong>Deze opdracht staat ook open voor doorleen en zzp&#39;ers. </strong>
 Job type: Tijdelijke functie/opdracht
 Certifications: <strong>Harde eisen:</strong>
<ul><li>HBO werk en denk niveau</li><li>Ervaring als Service manager IT +3jaar</li><li>Ervaring als Service manager bij een leverancier van ICT-infrastructuur/cloud diensten +3jaar</li></ul>
<strong>Nice to have:</strong>

<ul><li>Ervarings als service manager binnen de Rijksoverheid</li><li>Brede kennis van het ICT landschap van de Rijksoverheid</li><li>Een breed netwerk binnen de ICT-organisaties van de Rijksoverheid</li></ul>
 Remote possible: True",0.0
7,"Company name: Klant van Yacht
 Job requirements: <br>Om succesvol te zijn in deze rol, is ervaring met React en kennis van GoJS een vereiste. Daarnaast is het belangrijk dat je bekend bent met het schrijven van unit tests en dat je comfortabel werkt in een agile (scrum) teamomgeving. Enige kennis van tools zoals Git, Jenkins en Docker is ook wenselijk.
location: Amsterdam
None
 Company info: None
 Compensation benefits: None
 Job type: Tijdelijke functie/opdracht
 Certifications: None
 Remote possible: False",0.2978723404255319
8,"Company name: Uitvoeringsinstituut werknemersverzekeringen
 Job requirements: <div style=_font-size: 9pt;_><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Je bent een deskundige op het gebied van Enterprise architectuur en IT infrastructuur en je wordt door vakgenoten hierin erkend. Je hebt ervaring met de ontwikkeling van Infrastructuur en software binnen een digitale organisatie. Deze kennis en ervaring wil je gaan toepassen bij   n van de grootste maatschappelijk organisaties in Nederland met gelijke grootse uitdagingen in architectuur. Je doet dit niet alleen, maar altijd in samenwerking met collega s.</span></span></span></span><br><br><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>We vragen van jou:</span></span></span></span>
<ul><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Ruim 5 jaar ervaring met (doel) architectuur gedreven ontwikkelingen en bij voorkeur opgedaan binnen een grote administratieve organisatie of bij een gespecialiseerd IT-adviesbureau.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Een afgeronde Masteropleiding, aangevuld met passende opleidingen en certificaten in architectuur.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Je bent een deskundige op het gebied van Enterprise architectuur en IT infrastructuur.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Een visie over integrale dienstverlening, softwareontwikkeling en SaaS/PaaS.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Kennis van en ervaring met Service Architectuur, Agile, DevOps, Infrastructuur en ander gerelateerde onderwerpen is een pr .</span></span></span></span></li><li><span style=_font-size: 10pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_font-size: 9.0pt;_>Een heldere communicatiestijl en het vermogen tot het </span>vereenvoudigen van de IT-complexiteit door overzicht en inzicht te bieden aan alle stakeholders inclusief Directieteam; modelleren van de basis- en doelarchitectuur in Archimate; in staat zijn IT-richtlijnen en architectuur helder en compact te documenteren, afstemming te zoeken in de organisatie en de juiste processen te volgen.</span></span></li></ul>
</div>
location: Amsterdam
None
 Company info: <p><span style=_font-size: 12px;_>UWV staat voor Uitvoeringsinstituut Werknemersverzekeringen. Zij zorgen voor een deskundige en effici nte uitvoering van de werknemersverzekeringen, zoals de WW, WIA, WAO, WAZ, Wazo en Ziektewet. Daarnaast bieden zij arbeidsmarkt- en gegevensdiensten. Ze voeren deze diensten uit als zelfstandig bestuursorgaan (ZBO) in opdracht van het ministerie van Sociale Zaken en Werkgelegenheid.</span></p>
 Compensation benefits: <p>Voor uitvoering van deze opdracht kom je <strong>in dienst bij Yacht. </strong>De opdracht kan <strong>NIET</strong> uitgevoerd worden door ZZP&#39;ers.</p>
 Job type: Tijdelijke functie/opdracht
 Certifications: <div style=_font-size: 9pt;_><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Je bent een deskundige op het gebied van Enterprise architectuur en IT infrastructuur en je wordt door vakgenoten hierin erkend. Je hebt ervaring met de ontwikkeling van Infrastructuur en software binnen een digitale organisatie. Deze kennis en ervaring wil je gaan toepassen bij   n van de grootste maatschappelijk organisaties in Nederland met gelijke grootse uitdagingen in architectuur. Je doet dit niet alleen, maar altijd in samenwerking met collega s.</span></span></span></span><br><br><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>We vragen van jou:</span></span></span></span>
<ul><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Ruim 5 jaar ervaring met (doel) architectuur gedreven ontwikkelingen en bij voorkeur opgedaan binnen een grote administratieve organisatie of bij een gespecialiseerd IT-adviesbureau.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Een afgeronde Masteropleiding, aangevuld met passende opleidingen en certificaten in architectuur.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Je bent een deskundige op het gebied van Enterprise architectuur en IT infrastructuur.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Een visie over integrale dienstverlening, softwareontwikkeling en SaaS/PaaS.</span></span></span></span></li><li><span style=_font-size: 12pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_color: black;_><span style=_font-size: 9.0pt;_>Kennis van en ervaring met Service Architectuur, Agile, DevOps, Infrastructuur en ander gerelateerde onderwerpen is een pr .</span></span></span></span></li><li><span style=_font-size: 10pt;_><span style=_font-family: Verdana,sans-serif;_><span style=_font-size: 9.0pt;_>Een heldere communicatiestijl en het vermogen tot het </span>vereenvoudigen van de IT-complexiteit door overzicht en inzicht te bieden aan alle stakeholders inclusief Directieteam; modelleren van de basis- en doelarchitectuur in Archimate; in staat zijn IT-richtlijnen en architectuur helder en compact te documenteren, afstemming te zoeken in de organisatie en de juiste processen te volgen.</span></span></li></ul>
</div>
 Remote possible: True",0.0
9,"Company name: Uitvoeringsinstituut werknemersverzekeringen
 Job requirements: <font face=_Calibri, sans-serif_><span style=_font-size: 14.6667px;_><u>De perfecte kandidaat voldoet aan de volgende criteria:</u></span></font>
<ul><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Min 3 jaar Ervaring in een Agile werkende IV/ IT omgeving met voortbrenging in de laatste 5 jaar (bij voorkeur tevens ervaring met Scrum als Scrummaster of Productowner)</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar ervaring met implementatie van Obeya-werkwijze in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 1 jaar ervaring met de implementatie van en het werken in Value Streams in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar (team)coachings ervaring in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar ervaring met SAFe en PIPE organisatie in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Ervaring met Verandermanagement</em></span></span></li></ul>
<span style=_font-size: 12pt;_><span><span style=_font-size: 9.0pt;_><span>Daarnaast dien je</span></span></span></span> een relevante opdracht aan te leveren bij uw aanbieding. Vernoem hierin naam, functie, werkgever en telefoonnummer.

<p> </p>
location: Amsterdam
Het UWV is op zoek naar een Senior Agile coach!
 Company info: <p><span style=_font-family: verdana,sans-serif; font-size: small;_>UWV staat voor Uitvoeringsinstituut Werknemersverzekeringen. Zij zorgen voor een deskundige en effici nte uitvoering van de werknemersverzekeringen, zoals de WW, WIA, WAO, WAZ, Wazo en Ziektewet. Daarnaast bieden zij arbeidsmarkt- en gegevensdiensten. Ze voeren deze diensten uit als zelfstandig bestuursorgaan (ZBO) in opdracht van het ministerie van Sociale Zaken en Werkgelegenheid.</span></p>
 Compensation benefits: None
 Job type: Tijdelijke functie/opdracht
 Certifications: <font face=_Calibri, sans-serif_><span style=_font-size: 14.6667px;_><u>De perfecte kandidaat voldoet aan de volgende criteria:</u></span></font>
<ul><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Min 3 jaar Ervaring in een Agile werkende IV/ IT omgeving met voortbrenging in de laatste 5 jaar (bij voorkeur tevens ervaring met Scrum als Scrummaster of Productowner)</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar ervaring met implementatie van Obeya-werkwijze in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 1 jaar ervaring met de implementatie van en het werken in Value Streams in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar (team)coachings ervaring in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Minimaal 3 jaar ervaring met SAFe en PIPE organisatie in de afgelopen 5 jaar</em></span></span></li><li><span style=_font-size: 9pt;_><span style=_font-family: Verdana,sans-serif;_><em>Ervaring met Verandermanagement</em></span></span></li></ul>
<span style=_font-size: 12pt;_><span style=_font-size: 9.0pt;_>Daarnaast dien je</span></span> een relevante opdracht aan te leveren bij uw aanbieding. Vernoem hierin naam, functie, werkgever en telefoonnummer.
 Remote possible: False",0.3333333333333333
