,company_name,position_name,language,education,experience,responsibility,personality
0,Ministerie van Financiën: Belastingdienst,Senior Tester,Dutch,Unknown,Senior tester with 5 years of experience in test automation; Experience with projects in an Agile environment; Knowledge and experience with Agile/SCRUM; Tmap Next Foundation certification.,Unknown,Unknown
1,Belastingdienst,Scrum Master,Dutch,Unknown,"Certified Scrum Master (PSM II or equivalent); Several years of demonstrable experience as a Scrum Master, including experience with SAFe or other scaling models; Experience with implementation projects in a complex environment.",Unknown,Unknown
2,DUO,Java Developer (implied),Dutch,HBO (Higher Professional Education) level thinking and working,3 years of relevant experience in modeling; 3 years of relevant experience in a Java environment; 3 years of relevant experience with REST.  Experience with Java Swing and Velocity is a plus.,Develop and model; contribute to DevOps team improvement by thinking about how modeled information can be used to help them.,Team player; proactive; able to take a leading role in their field.
3,Dienst Uitvoering Onderwijs (DUO),UX Designer,Dutch,"Relevant education, e.g., Human Technology, UX Academy, Communication Systems (Nice to have)","5 years of experience at HBO level; 5 years of relevant experience in UX interaction design/UX design functions; Experience with human-centered design, customer journeys, user stories, scenarios, screenflows, wireframes, prototypes, and service design (demonstrable portfolio required); Experience organizing and facilitating effective group sessions; Experience guiding human-centered design processes in one or more multidisciplinary scrum teams; Experience with Agile working, working in DevOps teams, experience with Scrum/Kanban. Experience with large implementation organizations, extensive experience with digital government, and demonstrable experience with user research and usability testing are nice to have.",Unknown,"Customer-oriented, analytical, collaborative, environmentally aware, planning and organizing, progress control, self-development, empathy, initiative."
4,ASML Netherlands B.V.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,ASML Netherlands B.V.,Technical Lead (Cloud Security),English,Unknown,Deep knowledge of cloud environments and security and its controls; Experience training and coaching teams/architects/engineers on security knowledge and application.,"Technical lead for cloud-related work packages; Design and review team deliverables; Ensure quality of implemented solutions; Drive mitigation of agreed controls; Lead the cloud community; Define, communicate, and execute security roadmap items; Collaborate on improving and applying security and resolving security-related issues; Prevent security and audit issues; Define and align security requirements and best practices.",Unknown
6,DUO,IT Service Manager,Dutch,HBO (Higher Professional Education) work and thinking level,More than 3 years of experience as an IT Service Manager; More than 3 years of experience as a Service Manager at a supplier of ICT infrastructure/cloud services; Experience as a service manager within the Dutch national government (nice to have); Broad knowledge of the ICT landscape of the Dutch national government (nice to have); Extensive network within the ICT organizations of the Dutch national government (nice to have).,Unknown,Unknown
7,Klant van Yacht,Unknown,Dutch,Unknown,"Experience with React; Knowledge of GoJS; Experience writing unit tests; Comfortable working in an agile (scrum) team environment; Some knowledge of tools such as Git, Jenkins, and Docker.",Unknown,Unknown
8,Uitvoeringsinstituut werknemersverzekeringen,Enterprise Architect,Dutch,"Completed Master's degree, supplemented with relevant training and certifications in architecture","More than 5 years of experience with (target) architecture-driven developments, preferably gained within a large administrative organization or at a specialized IT consultancy; Expertise in enterprise architecture and IT infrastructure; Vision on integral service provision, software development, and SaaS/PaaS; Knowledge of and experience with Service Architecture, Agile, DevOps, Infrastructure, and other related topics (preferred).",Unknown,"Excellent communication skills; ability to simplify IT complexity by providing overview and insight to all stakeholders, including the management team; modeling of the base and target architecture in Archimate; ability to clearly and concisely document IT guidelines and architecture, seek alignment within the organization, and follow the correct processes."
9,Uitvoeringsinstituut werknemersverzekeringen (UWV),Senior Agile Coach,Dutch,Unknown,Minimum 3 years experience in an Agile working IV/IT environment with production in the last 5 years (preferably also experience with Scrum as Scrum Master or Product Owner); Minimum 3 years experience with the implementation of the Obeya method in the last 5 years; Minimum 1 year experience with the implementation of and working in Value Streams in the last 5 years; Minimum 3 years (team) coaching experience in the last 5 years; Minimum 3 years experience with SAFe and PIPE organization in the last 5 years; Experience with Change Management.,Unknown,Unknown
10,Uitvoeringsinstituut werknemersverzekeringen (UWV),Webontwikkelaar,Dutch,HBO level (ICT),More than 3 years demonstrable experience with ASP.Net Core Razor Web Applications and C# in the past 7 years; demonstrable work experience (min 2 years) in Microsoft SQL server and IIS in the past 5 years; demonstrable seniority in being able to work independently and plan for the realization of an ASP.Net Web Application based on specifications and example websites; demonstrable work experience (minimum 1 year) in setting up authentication of ASP.Net Core in combination with Active Directory in the past 5 years.,Unknown,Unknown
11,Uitvoeringsinstituut werknemersverzekeringen (UWV),Applicatie Ontwikkelaar AI,Dutch,HBO/WO level,"Minimum 3 years demonstrable work experience as a developer specializing in AI (data scientist or data analyst in combination with AI) in the past 5 years; Minimum 3 years demonstrable work experience setting up services/interfaces for (internal) third parties in the past 5 years; Minimum 2 years demonstrable work experience with Python, NLP and machine learning or similar tooling in the past 3 years; Minimum 2 years demonstrable work experience with GIT in the past 3 years.",Unknown,Unknown
